ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid
IDQzfCc,21/1/2017 14:15,7883965,553412,33638,13789995,b,Edge,Tablet
IDJE1MY,21/1/2017 14:00,4564289,487590,33287,90093962,b,Google Chrome,Mobile
IDyXMGy,22/1/2017 5:25,3506875,448642,41706,4000296,e,Firefox,Mobile
IDxl0Vf,21/1/2017 12:03,1811999,30759,62949,77046603,a,Mozilla Firefox,Desktop
ID02whB,22/1/2017 14:21,1477548,957708,61982,70239921,a,Firefox,Mobile
IDph308,22/1/2017 13:12,2262583,902579,80554,57977218,d,IE,Mobile
IDC3dnQ,23/1/2017 17:25,7794526,844148,904,94350426,b,Edge,Tablet
IDPtyCK,23/1/2017 22:48,1766498,39940,41640,27723861,a,Firefox,Mobile
IDvovDR,21/1/2017 13:16,9408225,548809,95113,65017662,b,Internet Explorer,Tablet
IDPg14z,23/1/2017 9:16,7830704,288618,6906,99510044,e,,Mobile
IDSyGVh,21/1/2017 9:38,1049799,624685,40339,63767331,a,Firefox,Mobile
IDaj2Qg,21/1/2017 13:38,9808626,50822,96313,555603,b,,Tablet
IDQ5cDp,23/1/2017 4:47,2517257,544393,95113,65017662,b,Mozilla Firefox,Desktop
IDCYGRk,21/1/2017 22:37,3696590,291516,5194,29624796,a,Firefox,Mobile
IDEQwGN,21/1/2017 12:19,3015481,959611,36768,78406516,b,Firefox,Mobile
IDn8vFx,22/1/2017 11:44,7860250,958248,15912,7864011,b,InternetExplorer,Desktop
IDw3FWG,22/1/2017 8:53,6411022,722658,82877,38492160,b,Firefox,Mobile
IDZ9ubm,21/1/2017 6:52,4554553,494351,80524,3151081,a,Firefox,Mobile
IDki0vZ,22/1/2017 11:37,813970,996681,41706,4000296,a,Firefox,Mobile
IDPmg0h,23/1/2017 16:06,5907772,160161,41640,83172146,e,Edge,Tablet
IDy8ijv,23/1/2017 19:00,3737591,242089,904,33247409,a,Edge,Tablet
IDdYT9t,21/1/2017 15:05,4877717,631376,1678,76522512,e,Firefox,Mobile
IDsmWzc,22/1/2017 6:50,6874171,771057,25321,26391770,a,Edge,Tablet
IDFLFR6,21/1/2017 11:31,1042228,809952,15912,55358028,f,Google Chrome,Mobile
IDtmwf5,23/1/2017 15:29,2334279,856268,17714,27723861,c,Edge,Tablet
ID1UOKI,21/1/2017 8:32,2591395,691066,89522,76532649,e,Edge,Tablet
IDNycl9,22/1/2017 16:32,6043955,752207,6906,99510044,c,,Desktop
IDGudIJ,23/1/2017 20:54,6329099,342843,41640,43526789,b,Firefox,Mobile
IDnzst6,22/1/2017 9:47,8698439,442234,5602,43328787,b,Google Chrome,Mobile
IDKNK5i,22/1/2017 5:18,3696590,581674,59164,54794527,d,Edge,Tablet
IDlXFXK,23/1/2017 10:09,5682298,274846,14345,54692138,a,Mozilla Firefox,Desktop
IDsmJLA,22/1/2017 8:44,5986879,748416,34670,1569330,b,Firefox,Mobile
IDaBhvm,21/1/2017 10:56,4174672,359588,40339,43452411,e,Chrome,Desktop
IDqfHIi,22/1/2017 12:23,2073465,692535,93286,17488931,e,Edge,Tablet
IDuxo0r,21/1/2017 12:25,5939727,202082,65251,57977218,f,Firefox,Mobile
IDWIh3g,22/1/2017 13:04,5643785,849817,97863,87807327,f,Edge,Tablet
IDRrIwB,21/1/2017 12:37,265125,651635,64452,92640312,b,Firefox,Mobile
IDK0TWx,21/1/2017 8:22,6021,123825,82877,79906734,f,Edge,Tablet
ID1yLBF,21/1/2017 15:52,1775281,635315,72160,47079934,b,Mozilla Firefox,Desktop
IDmQ2Aq,22/1/2017 14:02,1621533,198341,8467,50595884,b,IE,Mobile
IDQyIJi,21/1/2017 14:34,1373537,918630,2053,63492765,b,Edge,Tablet
IDY72YB,22/1/2017 15:23,1406650,423420,3643,8958548,b,Mozilla Firefox,Desktop
IDHLVDH,23/1/2017 16:16,9044333,844148,904,94350426,b,Google Chrome,Mobile
IDX3ZtZ,21/1/2017 16:37,3747758,943414,54343,71193712,a,Edge,Tablet
IDbILJq,21/1/2017 16:26,9298889,996773,11837,88843407,b,Mozilla,Desktop
ID306tV,21/1/2017 13:06,8767636,628791,72160,99684291,b,Mozilla,Desktop
IDZMWSO,22/1/2017 9:01,5210759,221174,71531,15961717,b,Edge,Tablet
ID3R8D2,23/1/2017 10:35,8765345,849552,54343,62689217,c,Google Chrome,Mobile
IDtHAvn,23/1/2017 20:16,5052828,459561,48430,39772159,f,InternetExplorer,Desktop
IDh8UDY,21/1/2017 7:24,3032554,511963,21407,7122654,a,Firefox,Mobile
ID3bhlV,22/1/2017 3:12,3696590,796604,61341,74868704,c,Mozilla,Desktop
ID22n2T,21/1/2017 13:09,3905599,516243,40339,71040875,e,Firefox,Mobile
ID0Xtcd,21/1/2017 21:14,3696590,730255,10345,64511164,f,Edge,Tablet
IDubtvQ,23/1/2017 8:59,2176401,736950,904,26391770,a,Firefox,Mobile
IDVYXTj,22/1/2017 16:50,1660987,523656,3037,55358028,b,Edge,Tablet
IDswj6l,23/1/2017 17:32,3925243,342843,41640,43526789,b,Mozilla,Desktop
IDoQscx,22/1/2017 13:14,3834503,938010,72276,79474990,b,Edge,Tablet
IDQyYyp,21/1/2017 16:22,7881932,318341,904,40325509,a,Mozilla Firefox,Desktop
IDfHvsv,21/1/2017 16:52,7483326,657110,46450,54630329,b,Firefox,Mobile
IDkw1Fn,21/1/2017 13:56,169980,222163,82396,16150900,a,Google Chrome,Mobile
IDfBQ7p,21/1/2017 10:33,5764748,738895,904,2050923,a,Chrome,Desktop
IDPt0b9,23/1/2017 8:03,3286831,823737,33287,10404744,a,Edge,Tablet
IDCAxSC,21/1/2017 10:43,2265132,818238,98552,9556126,f,InternetExplorer,Desktop
IDqiDFs,21/1/2017 14:58,7948446,340455,835,33505809,d,Internet Explorer,Tablet
IDNL9Os,21/1/2017 14:44,3804522,789445,62416,30860214,a,Internet Explorer,Tablet
IDCRhgs,21/1/2017 13:34,4052198,63802,42227,49384126,b,Mozilla Firefox,Desktop
IDI2R67,22/1/2017 11:53,5295145,647876,904,26391770,a,Mozilla Firefox,Desktop
IDnu1C8,23/1/2017 10:07,5096057,910164,1678,14334527,d,Google Chrome,Mobile
IDcvG2Y,21/1/2017 16:05,4661041,166691,6906,99510044,b,Firefox,Mobile
IDy8RRc,22/1/2017 12:05,3333946,392101,91234,99684291,b,Internet Explorer,Tablet
IDBdioo,22/1/2017 16:31,5255406,140340,93286,15961717,b,Firefox,Mobile
IDkoyTf,22/1/2017 13:55,9478667,911031,26849,43770446,b,Mozilla,Desktop
IDabpwZ,23/1/2017 10:56,2817827,894171,97863,87807327,a,Firefox,Mobile
IDL2TsK,22/1/2017 9:02,1527625,509478,33949,48644561,a,Firefox,Mobile
IDVRl9R,22/1/2017 16:39,7155956,199219,6906,71165566,c,Edge,Tablet
IDBxrFq,22/1/2017 13:51,7595653,251374,57029,2050923,b,Mozilla Firefox,Desktop
IDGdmLf,22/1/2017 16:02,9543645,5488,62809,40325509,d,Edge,Tablet
IDIbcUb,21/1/2017 11:21,2688796,389053,30580,67147700,a,InternetExplorer,Desktop
IDtA3Q4,22/1/2017 7:48,1783653,770827,11837,49384126,a,Edge,Tablet
ID2DZGi,21/1/2017 8:57,9688010,51526,6906,99510044,a,Internet Explorer,Tablet
IDdsy9k,23/1/2017 18:35,2527477,365813,79668,65017662,c,InternetExplorer,Desktop
IDf2oV5,21/1/2017 13:30,6847669,691720,26962,77896159,b,,Mobile
IDADUt5,23/1/2017 15:18,5978938,856268,17714,27723861,f,Google Chrome,Mobile
IDvm9VJ,21/1/2017 8:03,6293357,877285,17118,8837581,f,InternetExplorer,Desktop
IDqUwcg,23/1/2017 22:43,155178,923582,904,74868704,b,InternetExplorer,Desktop
IDqFasT,22/1/2017 14:25,6960579,929586,73362,67274540,b,Edge,Tablet
IDiepCW,21/1/2017 16:13,2422391,424070,904,58604466,a,Firefox,Mobile
IDFZQqU,23/1/2017 4:39,3167370,726166,40339,43452411,a,Mozilla,Desktop
ID6jX1z,22/1/2017 6:26,5951252,61168,46450,47079934,b,InternetExplorer,Desktop
IDhB9cc,21/1/2017 14:27,326908,225621,6906,71165566,b,Edge,Tablet
IDxDBta,21/1/2017 14:18,3809696,223806,10345,9556126,e,Firefox,Mobile
ID5s050,21/1/2017 13:48,4372279,25648,48498,55358028,b,Edge,Tablet
IDAfNaR,23/1/2017 15:33,2302003,989397,11837,79474990,d,InternetExplorer,Desktop
IDjhbXH,23/1/2017 15:31,2214617,168025,17714,74868704,f,Firefox,Mobile
IDo2KMs,21/1/2017 9:02,2335265,123820,49810,29624796,b,Firefox,Mobile
IDaTfG2,22/1/2017 14:33,9057978,369421,93286,46997962,b,Edge,Tablet
IDARLc3,23/1/2017 7:24,6535332,312631,97863,87807327,b,Firefox,Mobile
IDz7pb3,21/1/2017 11:38,1749261,68082,98552,16150900,a,Google Chrome,Mobile
ID5wAwD,22/1/2017 2:42,7950015,384421,23576,16150900,b,Edge,Tablet
IDYGF6R,21/1/2017 6:09,3789575,821312,26962,77896159,b,Edge,Tablet
ID3VhEa,22/1/2017 10:39,8400766,356030,95113,65017662,a,Mozilla Firefox,Desktop
IDd1yg4,23/1/2017 18:17,9472658,431184,904,74868704,a,InternetExplorer,Desktop
IDIwZvr,22/1/2017 9:42,5191360,672643,17118,7122654,a,Firefox,Mobile
IDrznRc,23/1/2017 19:57,8799526,342843,41640,43526789,e,Edge,Tablet
IDvnSCM,23/1/2017 23:39,9213985,242089,904,33247409,a,,Desktop
IDPLYiX,21/1/2017 9:00,5137712,877584,84987,74868704,a,IE,Mobile
IDiUsCa,23/1/2017 15:26,4593094,168025,17714,74868704,b,InternetExplorer,Desktop
IDimxVu,22/1/2017 20:01,2526249,562978,95113,65017662,d,InternetExplorer,Desktop
IDXnRPT,22/1/2017 10:12,7836024,466954,12211,87903766,b,Mozilla,Desktop
ID9mcEZ,22/1/2017 12:54,141740,604008,98552,16150900,a,InternetExplorer,Desktop
ID71MbV,23/1/2017 21:42,6935787,844148,904,94350426,a,Edge,Tablet
ID1JtNv,22/1/2017 16:52,7069675,426227,20322,26929326,b,Google Chrome,Mobile
IDe6IgK,21/1/2017 12:18,7615609,768775,904,40325509,e,Edge,Tablet
IDkPdUl,22/1/2017 15:38,5045682,385509,10345,64511164,f,Mozilla Firefox,Desktop
IDlCI4e,23/1/2017 5:59,6930993,887086,82129,54630329,a,Edge,Tablet
IDbtilL,21/1/2017 12:45,1095320,207127,25491,79474990,a,InternetExplorer,Desktop
ID8teq2,23/1/2017 10:24,4399731,572015,11837,22419907,d,Edge,Tablet
IDEt9O1,23/1/2017 23:31,2667087,864059,41640,48626108,a,Edge,Tablet
IDlRsB6,22/1/2017 10:52,5557599,255964,26849,68646414,b,Firefox,Mobile
IDMXWAH,23/1/2017 18:05,6132190,1770,41640,58604466,c,InternetExplorer,Desktop
IDKiweD,23/1/2017 18:25,5052828,864059,41640,48626108,c,Firefox,Mobile
IDvp54m,22/1/2017 14:18,144463,769863,12211,58163546,a,Firefox,Mobile
IDzZ8Mo,21/1/2017 12:56,8097662,107705,97863,96206255,a,Chrome,Desktop
IDXGzNU,23/1/2017 20:49,5165523,242089,904,33247409,a,Mozilla,Desktop
ID1EhVm,21/1/2017 13:56,4858374,377849,11837,43770446,e,Google Chrome,Mobile
IDL3PF9,22/1/2017 6:21,2691093,61168,46450,47079934,b,Mozilla,Desktop
IDEUDip,21/1/2017 11:44,754468,411600,9764,30860214,a,Google Chrome,Mobile
IDPCctP,21/1/2017 16:56,2767337,662827,6906,99510044,a,Firefox,Mobile
IDZq1Cl,21/1/2017 16:54,6173705,157413,14960,87807327,e,Firefox,Mobile
IDdeRjr,21/1/2017 12:03,9165170,772876,95113,92640312,e,Edge,Tablet
IDxbq7y,22/1/2017 14:00,6000696,191102,6906,99510044,b,Internet Explorer,Tablet
IDuLXdz,21/1/2017 12:15,7310466,459207,17118,17488931,b,Firefox,Mobile
IDxpcaq,23/1/2017 9:55,9503902,951691,35046,31388981,a,Edge,Tablet
IDunxeo,22/1/2017 12:35,3983536,32183,40339,43452411,a,Edge,Tablet
IDJumqk,21/1/2017 3:14,3005650,288143,33638,79906734,a,Firefox,Mobile
IDpF0nX,23/1/2017 23:06,7736340,242089,904,33247409,a,Edge,Tablet
IDEqfIf,22/1/2017 4:29,1438084,340683,904,26391770,e,Edge,Tablet
IDLKR0O,23/1/2017 22:35,6132190,641127,41640,37135965,b,Mozilla Firefox,Desktop
IDkEDF9,23/1/2017 17:37,7519951,160161,41640,83172146,a,Firefox,Mobile
IDWqnOF,21/1/2017 15:18,8488076,516843,15912,7864011,f,Firefox,Mobile
IDS9IrO,21/1/2017 16:00,5420210,957275,42227,79055697,b,Edge,Tablet
IDftQzQ,22/1/2017 11:32,1363858,648304,79668,67147700,a,InternetExplorer,Desktop
IDAS697,23/1/2017 20:42,9646981,431184,904,74868704,c,Google Chrome,Mobile
IDXGMfz,23/1/2017 22:03,6356352,39940,41640,27723861,f,Firefox,Mobile
IDZmOKf,21/1/2017 13:09,3137596,737683,5602,48425572,a,Edge,Tablet
IDr8BIT,22/1/2017 15:24,6677480,932807,81229,98166279,f,Firefox,Mobile
IDBa5Gc,23/1/2017 9:08,9533752,40073,835,26551485,a,Mozilla,Desktop
IDwMHZP,21/1/2017 16:29,2365145,27388,12052,31388981,a,Firefox,Mobile
IDIjb7U,21/1/2017 9:55,4836001,81469,23576,17990842,a,Firefox,Mobile
IDYDvgc,23/1/2017 22:17,9043114,39940,41640,27723861,b,,Mobile
IDDgjlx,23/1/2017 23:12,9020085,136304,41640,43526789,a,Firefox,Mobile
IDAKHmy,21/1/2017 14:10,8827017,328298,40339,43452411,b,Firefox,Mobile
ID5kQri,21/1/2017 13:50,9876025,257371,42227,96823930,e,Firefox,Mobile
IDaSXGt,21/1/2017 16:50,7483326,553091,26962,77896159,e,Edge,Tablet
IDbGpo3,21/1/2017 14:16,1002514,325050,34670,41475976,f,Google Chrome,Mobile
IDygQXf,23/1/2017 21:02,4329851,39940,41640,27723861,a,,Desktop
ID5B3Y6,23/1/2017 23:23,1496205,844148,904,94350426,c,Mozilla,Desktop
IDvItud,21/1/2017 12:18,6264747,328298,40339,43452411,a,Mozilla,Desktop
IDT6eA1,21/1/2017 3:42,7476486,13848,92704,57500672,b,IE,Mobile
IDMaLLq,22/1/2017 16:18,5012928,183824,34670,1569330,d,Mozilla Firefox,Desktop
IDBuvMh,23/1/2017 21:11,6207038,641127,41640,37135965,b,InternetExplorer,Desktop
IDaIz56,22/1/2017 11:32,2219786,32183,40339,43452411,f,InternetExplorer,Desktop
IDD3afZ,23/1/2017 8:53,9800939,968685,54916,80418924,b,Firefox,Mobile
IDUdplv,21/1/2017 15:54,8006895,130803,904,40325509,b,Edge,Tablet
IDm5oKJ,22/1/2017 13:35,2751395,290573,43612,41441342,e,InternetExplorer,Desktop
IDN3IlD,21/1/2017 8:07,6452791,203306,82877,54692138,e,Edge,Tablet
IDiQmUn,21/1/2017 10:09,1886894,718721,97863,87807327,b,Edge,Tablet
IDio6RS,22/1/2017 17:37,4744971,318177,48498,55358028,f,Firefox,Mobile
IDCDu9A,21/1/2017 0:14,7477958,264527,904,94350426,c,IE,Mobile
IDYnEHC,21/1/2017 16:08,1465542,7123,10345,17777318,a,Mozilla,Desktop
IDd4tV5,21/1/2017 15:31,8417572,710307,40339,43452411,b,Firefox,Mobile
IDKdSOO,22/1/2017 16:55,5880752,970676,54125,40325509,f,Edge,Tablet
IDzOCEs,21/1/2017 12:50,5979025,196758,99178,69514806,a,Edge,Tablet
IDB97dN,21/1/2017 15:00,3113629,972609,11837,43770446,f,Mozilla,Desktop
IDc2qny,23/1/2017 23:37,9472658,136304,41640,43526789,b,Firefox,Mobile
IDAKJId,23/1/2017 16:24,6931359,1770,41640,58604466,f,,Desktop
ID0tYWX,21/1/2017 15:53,2372481,756638,1678,78406516,f,Mozilla Firefox,Desktop
IDtIY6S,22/1/2017 11:15,6392783,546715,34489,40325509,b,,Desktop
IDUR7D9,22/1/2017 12:46,6680720,693633,67419,49384126,a,Mozilla,Desktop
IDBXwT5,22/1/2017 12:29,7610375,579786,34670,1569330,b,Opera,Mobile
IDL4OLA,21/1/2017 4:28,7996178,751044,1678,40325509,e,Chrome,Desktop
IDQObQV,21/1/2017 15:58,4398035,406161,80554,40325509,c,Firefox,Mobile
IDmHM9u,22/1/2017 9:54,7073099,995257,71833,40325509,b,Firefox,Mobile
IDMo6Dm,22/1/2017 15:23,8619612,18139,82877,2835657,b,Firefox,Mobile
IDZsPa0,23/1/2017 20:57,9239361,1770,41640,58604466,c,InternetExplorer,Desktop
IDU5mts,22/1/2017 14:00,9619962,236381,80554,61940782,c,Mozilla Firefox,Desktop
IDkDepI,23/1/2017 19:32,3401752,459561,48430,39772159,d,InternetExplorer,Desktop
IDjGFW5,21/1/2017 12:41,6259686,74756,12052,54630329,c,InternetExplorer,Desktop
IDQqQ2f,21/1/2017 9:11,6884457,380837,6906,99510044,a,Edge,Tablet
IDDYcWg,21/1/2017 10:03,718740,941783,904,26391770,b,Firefox,Mobile
IDy0zh1,21/1/2017 3:51,4841524,723699,30580,67147700,b,Google Chrome,Mobile
IDxkqxc,22/1/2017 13:54,3937150,615969,92704,30860214,b,Edge,Tablet
IDK8wfS,23/1/2017 15:23,6043385,168025,17714,74868704,f,Firefox,Mobile
IDz5pSc,23/1/2017 18:25,4864209,844148,904,94350426,a,Edge,Tablet
IDz8YSH,21/1/2017 14:58,4411671,752256,9764,1189152,f,Opera,Mobile
IDbWMBe,22/1/2017 3:09,7264122,47768,80554,57977218,b,,Mobile
IDdwR1B,21/1/2017 7:07,370277,601541,42227,49384126,b,Firefox,Mobile
IDu9oXB,23/1/2017 15:31,8751214,589231,17714,26391770,b,Firefox,Mobile
IDwdJ9E,21/1/2017 16:22,255103,958840,11837,8837581,b,Mozilla,Desktop
IDi0RlP,21/1/2017 15:14,3574433,81147,73248,50706198,e,Mozilla,Desktop
ID8kAhr,23/1/2017 7:46,1086686,431911,35046,54630329,b,Mozilla,Desktop
IDG4j0p,23/1/2017 22:38,6043385,431184,904,74868704,d,InternetExplorer,Desktop
IDoUy21,23/1/2017 21:54,2193765,864059,41640,48626108,c,Mozilla,Desktop
ID7PD0a,23/1/2017 21:50,276615,39940,41640,27723861,b,Edge,Tablet
IDXFSKu,23/1/2017 15:54,9677387,431184,904,74868704,c,Firefox,Mobile
IDWtp1Y,23/1/2017 8:35,2611684,731076,73248,61940782,a,Chrome,Desktop
IDy7Ryw,21/1/2017 11:20,6430319,93255,33287,46997962,a,Edge,Tablet
IDzAqL6,21/1/2017 16:36,6529089,335713,62949,31463671,a,Chrome,Desktop
IDgpLfE,22/1/2017 16:05,4954843,249236,35046,31388981,b,Edge,Tablet
IDglBvI,23/1/2017 8:57,2528321,510798,73248,83960204,b,Google Chrome,Mobile
ID5jRA7,21/1/2017 16:24,130048,39204,41706,4000296,a,Firefox,Mobile
IDIKHQY,22/1/2017 15:47,8577165,495471,60316,40325509,b,Edge,Tablet
IDv1Kg8,23/1/2017 9:46,7067348,944640,80524,20803874,a,,Mobile
IDtEmTd,21/1/2017 10:32,2265132,124857,21380,61926944,a,Firefox,Mobile
IDMnQIM,23/1/2017 9:07,5232557,878059,56811,15961717,d,Edge,Tablet
IDSMy0d,21/1/2017 15:56,5213066,879530,40339,26391770,a,Firefox,Mobile
IDSLmtx,22/1/2017 10:21,699527,436980,8414,47079934,b,Edge,Tablet
IDpVDOX,23/1/2017 10:29,4292508,767929,73248,7864011,b,Edge,Tablet
ID0YWuz,21/1/2017 13:48,7185116,674858,11837,30860214,b,,Tablet
IDDTQq2,22/1/2017 5:08,3696590,365888,52747,26391770,b,Mozilla Firefox,Desktop
IDylTbJ,23/1/2017 21:08,1534607,242089,904,33247409,e,Edge,Tablet
IDD5tOC,21/1/2017 9:40,7896742,664850,98552,16150900,b,Edge,Tablet
IDBgoVG,21/1/2017 11:18,1627457,199706,42227,63767331,f,Firefox,Mobile
IDYA6aK,21/1/2017 16:52,5258164,489726,84987,76367582,b,Edge,Tablet
IDHdaAD,23/1/2017 2:05,8597153,240558,30580,67147700,f,Chrome,Desktop
ID1UUqs,23/1/2017 4:07,3527266,924162,37055,72749645,e,Mozilla Firefox,Desktop
ID3CDD1,23/1/2017 6:21,227691,32183,40339,43452411,a,Firefox,Mobile
IDxFEiL,21/1/2017 9:20,6014120,538008,45620,31388981,b,Mozilla Firefox,Desktop
IDsD1o8,21/1/2017 11:25,4211555,543717,73248,57977218,f,Edge,Tablet
IDmRt6O,21/1/2017 12:52,1652089,622846,11837,43179292,a,Mozilla,Desktop
ID45zps,21/1/2017 12:11,274395,874671,99178,555603,d,Mozilla,Desktop
ID7zZy5,21/1/2017 18:39,6604186,386973,10345,33683592,c,InternetExplorer,Desktop
IDl4Giu,23/1/2017 9:31,4432342,766058,93286,90093962,b,Edge,Tablet
ID0koHZ,21/1/2017 10:17,2457568,696392,60316,58604466,e,Firefox,Mobile
IDQLM6S,23/1/2017 15:46,4305602,160161,41640,83172146,b,Edge,Tablet
IDAZR4S,22/1/2017 3:38,7346651,726166,40339,43452411,a,Firefox,Mobile
IDCkjpl,22/1/2017 8:23,5429894,441115,82396,26461535,a,Edge,Tablet
IDIT2wu,21/1/2017 16:39,5770519,115384,904,40325509,b,Mozilla Firefox,Desktop
IDDVwP4,21/1/2017 10:15,4920602,693846,97863,87807327,a,Edge,Tablet
IDT6J6G,21/1/2017 14:27,271016,707926,6906,99510044,d,Google Chrome,Mobile
IDToyzE,21/1/2017 14:26,7129320,176853,97103,76811147,a,InternetExplorer,Desktop
ID45zQu,22/1/2017 9:22,6899762,834132,56811,15961717,d,Internet Explorer,Tablet
IDAPtTe,23/1/2017 22:23,9874408,242089,904,33247409,b,Edge,Tablet
IDYXMEY,22/1/2017 14:10,8794107,315383,1678,28553354,a,Mozilla,Desktop
IDKDONF,22/1/2017 11:34,6674691,134896,43897,48626108,a,Mozilla,Desktop
ID9f5tf,23/1/2017 23:12,6858718,844148,904,94350426,f,Safari,Tablet
IDtr4eq,21/1/2017 12:21,5996902,681388,71531,8958548,f,Mozilla Firefox,Desktop
ID8LIb6,21/1/2017 9:29,2149992,709079,60316,26391770,b,Firefox,Mobile
IDuBTvS,22/1/2017 11:16,6041818,48819,40339,1189152,b,Google Chrome,Mobile
IDC8I1n,21/1/2017 16:37,4223562,464206,42227,30860214,b,Edge,Tablet
IDXNx6p,21/1/2017 8:47,135819,364737,45620,31388981,d,Edge,Tablet
IDokyVz,23/1/2017 20:56,6712789,431184,904,74868704,c,InternetExplorer,Desktop
IDJMu8d,22/1/2017 10:59,2681937,84292,35046,90174279,a,Edge,Tablet
IDD4bb6,22/1/2017 10:58,8290751,321345,42227,15961717,b,Mozilla,Desktop
IDoGuhR,22/1/2017 10:26,4316483,259309,40339,71040875,a,Firefox,Mobile
IDIpmbv,21/1/2017 15:27,3505290,14688,48498,93157824,c,Edge,Tablet
IDsTOBk,21/1/2017 7:37,3696590,752553,3037,55358028,b,Firefox,Mobile
IDVqMLq,21/1/2017 12:10,6805866,838241,10345,17777318,a,Edge,Tablet
IDuGarj,23/1/2017 17:37,5208998,641127,41640,37135965,a,Firefox,Mobile
IDsw0dg,22/1/2017 13:48,8867321,594026,30580,67147700,b,Firefox,Mobile
IDMG1zB,21/1/2017 12:40,1269459,404414,33287,46997962,d,Firefox,Mobile
IDREMz3,21/1/2017 10:38,5239968,674464,68947,7864011,b,Edge,Tablet
IDayVIh,23/1/2017 16:18,5616216,160161,41640,83172146,d,Edge,Tablet
IDQMrlc,23/1/2017 18:20,4864209,1770,41640,58604466,d,,Desktop
IDaO4Y9,21/1/2017 11:12,8341143,578645,42227,48913006,a,Mozilla Firefox,Desktop
ID2IXpo,21/1/2017 9:11,3103812,963730,74711,72749645,a,Edge,Tablet
IDbAqRM,22/1/2017 7:16,7894686,421491,46450,57977218,e,Mozilla Firefox,Desktop
IDkXzhy,22/1/2017 4:43,4368894,441323,36768,8958548,b,Firefox,Mobile
IDfa1ZC,23/1/2017 21:54,7885793,864059,41640,48626108,b,Firefox,Mobile
IDxqW4r,21/1/2017 11:11,9922207,117994,904,74868704,b,,Desktop
IDvgwLu,21/1/2017 14:33,8872541,340284,67817,51368560,c,Mozilla,Desktop
ID6rYJC,23/1/2017 21:19,569590,39940,41640,27723861,b,,Mobile
IDyewBr,23/1/2017 7:43,1685569,503971,12211,50595884,a,Mozilla,Desktop
IDCMHrH,23/1/2017 16:05,7025999,844148,904,94350426,b,InternetExplorer,Desktop
ID8DJBR,22/1/2017 8:38,8794107,602540,33638,40325509,c,,Tablet
IDtGwED,22/1/2017 16:49,1363858,788169,79668,61940782,a,Firefox,Mobile
IDdgkGt,21/1/2017 11:44,3794077,491996,20665,27723861,f,Firefox,Mobile
ID9Oh8U,23/1/2017 19:55,6796638,242089,904,33247409,b,InternetExplorer,Desktop
IDzjSTt,21/1/2017 21:41,2964480,542220,904,26391770,a,Mozilla,Desktop
ID1gigf,22/1/2017 15:51,4951841,439059,99178,87807327,f,Firefox,Mobile
IDBVO8v,21/1/2017 13:54,4604741,696849,13412,77318092,b,Edge,Tablet
IDpnNsy,21/1/2017 13:29,3017284,3014,41706,4000296,b,Edge,Tablet
IDaRv6w,21/1/2017 8:59,4836001,544194,25491,37135965,b,Mozilla Firefox,Desktop
ID8K0h5,21/1/2017 11:09,6724864,32183,40339,43452411,f,Firefox,Mobile
IDZkz9M,22/1/2017 14:54,9940715,510926,82877,38492160,a,Edge,Tablet
IDhiE2d,23/1/2017 2:05,8597153,939806,97863,56008048,b,Chrome,Desktop
IDswtMn,23/1/2017 21:43,9474462,242089,904,33247409,e,Edge,Tablet
IDAnf6P,21/1/2017 16:39,2213706,110821,93146,67274540,e,Google Chrome,Mobile
IDdkQtN,21/1/2017 6:20,3378721,821006,54916,43526789,e,Firefox,Mobile
IDyG5gV,23/1/2017 11:57,59026,226571,30580,67147700,c,InternetExplorer,Desktop
IDwlZSR,23/1/2017 17:36,5208998,431184,904,74868704,c,InternetExplorer,Desktop
IDlYjAf,21/1/2017 12:45,3065830,482029,20665,40325509,b,Edge,Tablet
ID8GaRr,21/1/2017 16:54,7860250,735865,11837,56546102,a,Edge,Tablet
IDRveKA,21/1/2017 16:00,9437848,452362,36768,79906734,f,Firefox,Mobile
IDPni4y,21/1/2017 16:44,3130382,862642,35368,57977218,b,Firefox,Mobile
IDNDO0o,22/1/2017 14:04,418484,370600,42227,48913006,d,Opera,Mobile
IDuxfOt,23/1/2017 15:28,8179853,589231,17714,26391770,b,Firefox,Mobile
IDL9gX1,21/1/2017 16:15,9199295,131890,74711,35888759,d,Mozilla,Desktop
IDxxO2p,21/1/2017 16:51,3168835,788735,97863,56008048,b,Google Chrome,Mobile
IDYILV9,21/1/2017 11:06,1732333,142340,74263,94350426,a,Edge,Tablet
IDdMzMV,21/1/2017 10:00,6384496,843918,10327,74868704,f,Edge,Tablet
ID2lkfp,23/1/2017 22:19,4864209,342843,41640,43526789,b,Mozilla,Desktop
IDsHR7j,21/1/2017 14:48,5470841,393687,93188,15961717,c,Edge,Tablet
IDNIxMl,22/1/2017 16:16,8303202,294544,70409,47941469,e,Firefox,Mobile
IDu9f7b,21/1/2017 13:56,6019895,299137,73362,67274540,a,Edge,Tablet
IDvxai2,23/1/2017 20:05,3804980,641127,41640,37135965,b,Mozilla,Desktop
IDatvN8,23/1/2017 22:54,4991260,242089,904,33247409,b,Google Chrome,Mobile
IDVXiN9,21/1/2017 16:25,2938363,179697,92902,8958548,b,Edge,Tablet
IDAOb0C,23/1/2017 19:05,8940054,844148,904,94350426,b,InternetExplorer,Desktop
